Security_Id,Security_Name,Vendor_Id,Vendor_Name,Vendor_Code,Source_Feed_Id,Rating_Type,Exchange_Code,Country,Sector,Rating_Date,Rating_Code,Rating_Score,Rating_Reason,Is_Active
SEC0068,Moran-Stanley,10,Moody's,MDY,7,Short Term,BSE,USA,Energy,2022-10-28,AA-,7,Improved financial stability,False
SEC0021,Jones-Leonard,20,S&P,SNP,9,Recovery,NYSE,Germany,Healthcare,2022-02-23,AAA,10,Stable outlook maintained,True
SEC0084,"Solis, Hutchinson and Morris",10,Moody's,MDY,7,Short Term,NYSE,UK,Automotive,2022-11-03,BB,3,Stable outlook maintained,False
SEC0009,Anderson LLC,20,S&P,SNP,9,Recovery,BSE,UK,Energy,2022-03-09,B,2,Decreased liquidity ratio,False
SEC0080,Rios-Bates,30,Fitch,FTC,11,Short Term,NYSE,Singapore,Automotive,2022-01-01,A,5,Decreased liquidity ratio,False
SEC0014,"Gates, Hernandez and Hernandez",30,Fitch,FTC,11,Viability,BSE,UK,Energy,2022-01-01,BB,3,Stable outlook maintained,False
SEC0009,Anderson LLC,10,Moody's,MDY,7,Recovery,BSE,UK,Energy,2023-01-18,AA+,9,Improved financial stability,True
SEC0048,Clay Ltd,10,Moody's,MDY,7,Long Term,BSE,Singapore,Automotive,2023-01-18,A+,6,Stable outlook maintained,False
SEC0061,Garcia-Garcia,30,Fitch,FTC,11,Viability,BSE,Germany,Automotive,2023-03-13,CCC,1,Decreased liquidity ratio,False
SEC0059,Bailey-Larson,20,S&P,SNP,9,Viability,NYSE,UK,Finance,2022-11-27,AA-,7,Decreased liquidity ratio,False
SEC0015,Moore PLC,10,Moody's,MDY,7,Viability,SGX,Germany,Automotive,2022-01-01,AA,8,Improved financial stability,False
SEC0066,"Scott, Thomas and Cervantes",10,Moody's,MDY,7,Viability,NYSE,Singapore,Finance,2025-05-01,AA-,7,Improved financial stability,True
SEC0064,Barnes PLC,10,Moody's,MDY,7,Recovery,NSE,USA,Finance,2022-08-13,AA-,7,Decreased liquidity ratio,False
SEC0026,Hernandez Inc,20,S&P,SNP,9,Viability,SGX,UK,Healthcare,2022-06-02,AA,8,Upgraded due to strong quarterly earnings,False
